commit,device,shape_id,kind,batch,in_channels,out_channels,in_h,in_w,kernel,stride,padding,groups,use_bias,num_aie_columns,flops,bytes,arithmetic_intensity,warmup_iters,timed_iters,latency_mean_us,latency_median_us,latency_p99_us,gflops_median,bandwidth_gbps_median,cpu_latency_median_us,correctness
c976412,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,1,4194304,200832,2.088464e+01,5,20,418.5757,420.4485,428.5840,9.975785e+00,4.776614e-01,,pass
c976412,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,0,1,4194304,200704,2.089796e+01,5,20,381.4591,383.4390,398.6880,1.093865e+01,5.234314e-01,,pass
c976412,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,2,4194304,200832,2.088464e+01,5,20,269.8979,267.7725,288.1610,1.566368e+01,7.500098e-01,,pass
c976412,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,4,4194304,200832,2.088464e+01,5,20,186.0480,187.0760,192.4910,2.242032e+01,1.073532e+00,,pass
c976412,NPU2_cols8,B2,standard_k3,1,16,16,32,32,3,1,1,1,1,1,4718592,70176,6.723940e+01,5,20,17920.9322,17888.9045,18281.7010,2.637720e-01,3.922879e-03,,fail
c976412,NPU2_cols8,B2,standard_k3,1,16,16,32,32,3,1,1,1,1,2,4718592,70176,6.723940e+01,5,20,9007.7647,8964.2485,9536.5430,5.263790e-01,7.828431e-03,,fail
c976412,NPU2_cols8,EX64,pointwise,1,64,64,32,32,1,1,0,1,1,1,8388608,270464,3.101562e+01,5,20,705.6630,695.5500,781.0150,1.206040e+01,3.888491e-01,,pass
c976412,NPU2_cols8,EX64,pointwise,1,64,64,32,32,1,1,0,1,1,4,8388608,270464,3.101562e+01,5,20,272.3359,273.0520,275.7070,3.072165e+01,9.905220e-01,,pass
