commit,device,peer,role,align_to,problem_shape,bytes,flops,arithmetic_intensity,warmup_iters,timed_iters,latency_median_us,bandwidth_gbps_median,gflops_median,correctness,disclaimer
7b36295,NPU2_cols8,relu,BW ceiling reference (elementwise unary),B1_in_elems,"size=32768,cols=4,chans=1,tile=8192",131072,32768,2.500000e-01,2,5,112.6410,1.163626e+00,2.909065e-01,pass,Ring-2 peer only; not a FLOPs race vs AIEConv2d. See ROADMAP §2.4 / PEER_BW_REFERENCES.
7b36295,NPU2_cols8,mem_copy,Memory-bound BW ceiling,B1_in_elems,"size=32768,cores=4,chans=1,tile=8192",131072,0,0.000000e+00,2,5,109.2550,1.199689e+00,,pass,Ring-2 peer only; not a FLOPs race vs AIEConv2d. See ROADMAP §2.4 / PEER_BW_REFERENCES.
7b36295,NPU2_cols8,gemm,Roofline / compute-bound check only,B1_flop_order_legal_tiles,"M=256,K=64,N=256,cols=4",196608,8388608,4.266667e+01,2,5,91.9820,2.137462e+00,9.119836e+01,pass,Ring-2 peer only; not a FLOPs race vs AIEConv2d. See ROADMAP §2.4 / PEER_BW_REFERENCES.
7b36295,NPU2_cols8,relu,BW ceiling reference (elementwise unary),B1_in_elems,"size=32768,cols=4,chans=1,tile=8192",131072,32768,2.500000e-01,2,5,110.9780,1.181063e+00,2.952657e-01,pass,Ring-2 peer only; not a FLOPs race vs AIEConv2d. See ROADMAP §2.4 / PEER_BW_REFERENCES.
7b36295,NPU2_cols8,mem_copy,Memory-bound BW ceiling,B1_in_elems,"size=32768,cores=4,chans=1,tile=8192",131072,0,0.000000e+00,2,5,96.6020,1.356825e+00,,pass,Ring-2 peer only; not a FLOPs race vs AIEConv2d. See ROADMAP §2.4 / PEER_BW_REFERENCES.
7b36295,NPU2_cols8,gemm,Roofline / compute-bound check only,B1_flop_order_legal_tiles,"M=256,K=64,N=256,cols=4",196608,8388608,4.266667e+01,2,5,101.0390,1.945862e+00,8.302347e+01,pass,Ring-2 peer only; not a FLOPs race vs AIEConv2d. See ROADMAP §2.4 / PEER_BW_REFERENCES.
