Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_1-tile_size_4096-scalar_factor_10.0,5/5,144.16,138.7,123.6,168.8,17.419328345260624,0.17243168,0.177247,0.1456002,0.1987787,0.020356431945382763,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_1-tile_size_4096-scalar_factor_3.0,5/5,174.2,178.6,130.5,234.6,42.90168994340433,0.14800062,0.1376113,0.1047718,0.1882814,0.03564384727876608,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_2-tile_size_2048-scalar_factor_10.0,5/5,175.16,179.7,141.8,216.7,29.242400722238923,0.14343426,0.1367902,0.1134191,0.173328,0.023579988850145797,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_2-tile_size_2048-scalar_factor_3.0,5/5,154.88,151.4,127.6,188.8,21.90814916874541,0.16115168,0.1623057,0.1301426,0.1926124,0.022151463313221542,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_4-tile_size_1024-scalar_factor_10.0,5/5,156.32,155.8,122.5,191.7,26.24627592631,0.16089542,0.1577853,0.1282103,0.2005664,0.027540464111503283,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_4-tile_size_1024-scalar_factor_3.0,5/5,160.4,161.3,134.1,176.9,16.341664541900258,0.15460958,0.1523932,0.138889,0.183217,0.017170277592747293,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_8-tile_size_512-scalar_factor_10.0,5/5,200.92000000000002,191.3,130.0,288.5,60.935309960645974,0.131675448,0.1284657,0.08519164,0.1890491,0.039829581946795777,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_8-tile_size_512-scalar_factor_3.0,5/5,196.5,184.8,147.3,289.8,57.04686669747954,0.132485176,0.1329719,0.08480858,0.1668194,0.0326495011813026,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_1-tile_size_8192-scalar_factor_10.0,5/5,159.36,167.0,135.6,182.5,22.0205131638661,0.3133406,0.2942564,0.2692567,0.3624805,0.04473086574055995,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_1-tile_size_8192-scalar_factor_3.0,5/5,152.1,156.7,112.2,206.6,38.40774661445266,0.3398181,0.3136935,0.2379171,0.4379851,0.08389417657287067,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_8192-num_aie_columns_2-tile_size_4096-scalar_factor_10.0,5/5,156.02,150.8,144.4,180.1,14.557712732431558,0.31708475999999997,0.3258617,0.272956,0.3403525,0.027375254932657706,,,,,
